year,state,Apache,Blackfoot,Cherokee,Cheyenne,Chickasaw,Chippewa,Choctaw,Comanche,Creek,Crow,Iroquois,Kiowa,Lumbee,Navajo,Osage,Paiute,Pima,Potawatomi,Pueblo,Seminole,Shoshone,Sioux,Tohono O'Odham,Alaska Native--Alaskan Athabaskan,Alaska Native--Aleut,Alaska Native--Eskimo,Alaska Native--Tlingit,American Indian and Alaska Native--All other tribes,American Indian and Alaska Native--Tribe not specified,Native Hawaiian and Other Pacific Islander--Polynesian,Native Hawaiian and Other Pacific Islander--Polynesian--Hawaiian,Native Hawaiian and Other Pacific Islander--Polynesian--Samoan,Native Hawaiian and Other Pacific Islander--Polynesian--Tongan,Native Hawaiian and Other Pacific Islander--Polynesian--Other Polynesian,Native Hawaiian and Other Pacific Islander--Micronesian,Native Hawaiian and Other Pacific Islander--Micronesian--Guamanian,Native Hawaiian and Other Pacific Islander--Micronesian--Other Micronesian,Native Hawaiian and Other Pacific Islander--Melanesian,Native Hawaiian and Other Pacific Islander--Melanesian--Fijian,Native Hawaiian and Other Pacific Islander--Melanesian--Other Melanesian,Native Hawaiian and Other Pacific Islander--Other
2000,Vermont,27,79,138,14,2,41,22,2,4,2,127,1,3,11,2,5,3,2,5,0,4,37,1,4,4,8,2,1040,780,77,30,44,1,2,34,28,6,1,0,1,27
2000,Virginia,286,304,4078,52,96,359,413,79,228,22,541,44,693,383,60,14,13,150,171,99,26,519,15,21,44,58,58,4926,7016,1718,1023,631,27,37,1469,1310,159,38,27,11,656
2000,Washington,704,1999,4899,385,286,3138,1005,160,313,195,540,92,165,961,125,148,92,268,405,109,212,2554,30,528,1322,955,2615,46151,21012,13924,4883,8049,754,238,6702,5823,879,837,823,14,2037
2000,West Virginia,55,89,1178,11,11,51,29,12,17,9,68,2,33,55,3,4,3,6,12,9,5,90,0,3,4,9,5,307,1405,200,111,79,4,6,105,87,18,1,0,1,91
2000,Wisconsin,187,124,914,50,28,13069,143,49,64,21,7335,27,44,140,23,8,28,1157,49,28,23,649,14,55,32,69,40,13129,9151,820,458,333,11,18,393,332,61,13,8,5,392
2000,Wyoming,88,106,371,216,14,230,92,29,24,165,44,8,12,276,10,12,6,13,36,4,2132,702,3,6,13,12,7,4726,1589,171,75,63,25,8,73,65,8,1,1,0,55
2010,Alabama,148,150,9438,15,102,194,3397,44,3516,17,123,13,163,122,13,7,11,57,44,65,4,242,14,25,40,43,29,1749,7934,767,522,213,10,22,1989,1774,215,16,15,1,239
2010,Alaska,157,173,920,26,58,389,295,42,75,35,109,10,46,259,19,27,24,64,77,36,36,290,19,12318,7696,48270,8547,2909,20183,6156,949,4663,499,45,660,380,280,31,29,2,215
2010,Arizona,24987,351,3029,179,388,955,1539,218,416,118,593,199,128,131367,118,466,19455,330,1468,124,224,1826,16829,143,128,301,190,41419,44651,7203,3837,2000,1239,127,3860,2646,1214,160,146,14,1099
2010,Arkansas,224,136,8659,45,318,190,2702,98,579,6,153,67,68,171,169,17,9,228,53,81,28,265,18,42,28,63,30,1639,5581,747,537,178,18,14,4736,442,4294,22,21,1,326
2010,California,10803,2498,20969,543,1822,3095,7389,1150,2213,283,1636,388,413,8796,657,2390,1192,1393,2973,640,1011,5075,1408,378,488,626,739,128144,144452,81760,21423,40900,18329,1108,28010,24299,3711,19412,19355,57,11486
2010,Colorado,2592,388,3860,292,373,881,1097,248,322,99,377,101,87,6069,260,71,80,375,890,128,194,3420,72,115,140,280,168,9307,22184,3218,1783,1091,266,78,2471,1784,687,92,78,14,704
2010,Connecticut,63,126,519,18,20,108,48,13,35,10,206,3,48,73,5,5,3,17,62,9,9,104,12,16,4,15,15,4269,5231,495,322,155,6,12,534,455,79,16,14,2,372
2010,Delaware,25,31,392,1,3,34,26,1,14,0,41,2,32,27,1,2,6,26,4,5,1,33,2,2,2,3,2,1360,2059,115,74,34,3,4,228,215,13,1,0,1,52
2010,District Of Columbia,20,19,149,1,13,9,17,5,18,1,13,2,13,32,2,3,1,7,23,16,1,29,1,2,3,3,3,394,1253,107,75,29,2,1,119,111,8,21,18,3,51
